column,missing_fraction,missing_percent
h1_bilirubin_max,0.9226500059969688,92.26500059969688
h1_bilirubin_min,0.9226500059969688,92.26500059969688
h1_lactate_max,0.9199241110856694,91.99241110856694
h1_lactate_min,0.9199241110856694,91.99241110856694
h1_albumin_min,0.9139816601790368,91.39816601790368
h1_albumin_max,0.9139816601790368,91.39816601790368
h1_pao2fio2ratio_min,0.874412569646615,87.44125696466149
h1_pao2fio2ratio_max,0.874412569646615,87.44125696466149
h1_arterial_ph_min,0.8332951708045752,83.32951708045752
h1_arterial_ph_max,0.8332951708045752,83.32951708045752
h1_hco3_max,0.8296969895216599,82.969698952166
h1_hco3_min,0.8296969895216599,82.969698952166
h1_arterial_pco2_max,0.8282250062695583,82.82250062695583
h1_arterial_pco2_min,0.8282250062695583,82.82250062695583
h1_wbc_max,0.8281595847916872,82.81595847916871
h1_wbc_min,0.8281595847916872,82.81595847916871
h1_arterial_po2_max,0.8280723561545256,82.80723561545256
h1_arterial_po2_min,0.8280723561545256,82.80723561545256
h1_calcium_min,0.8271782626236194,82.71782626236194
h1_calcium_max,0.8271782626236194,82.71782626236194
h1_platelets_min,0.8251065824910319,82.51065824910319
h1_platelets_max,0.8251065824910319,82.51065824910319
h1_bun_min,0.8187606991375268,81.87606991375269
h1_bun_max,0.8187606991375268,81.87606991375269
h1_creatinine_max,0.8172996194650703,81.72996194650703
h1_creatinine_min,0.8172996194650703,81.72996194650703
h1_diasbp_invasive_max,0.8169834156553597,81.69834156553597
h1_diasbp_invasive_min,0.8169834156553597,81.69834156553597
h1_sysbp_invasive_min,0.8168416691199721,81.68416691199721
h1_sysbp_invasive_max,0.8168416691199721,81.68416691199721
h1_mbp_invasive_min,0.816067514965163,81.60675149651631
h1_mbp_invasive_max,0.816067514965163,81.60675149651631
h1_hematocrit_min,0.8005408175504019,80.05408175504019
h1_hematocrit_max,0.8005408175504019,80.05408175504019
h1_hemaglobin_max,0.7973024543957782,79.73024543957781
h1_hemaglobin_min,0.7973024543957782,79.73024543957781
h1_sodium_min,0.7917852430953082,79.17852430953081
h1_sodium_max,0.7917852430953082,79.17852430953081
h1_potassium_max,0.7861698995780315,78.61698995780316
h1_potassium_min,0.7861698995780315,78.61698995780316
paco2_for_ph_apache,0.7727148822958577,77.27148822958577
pao2_apache,0.7727148822958577,77.27148822958577
ph_apache,0.7727148822958577,77.27148822958577
paco2_apache,0.7727148822958577,77.27148822958577
fio2_apache,0.7727148822958577,77.27148822958577
d1_lactate_max,0.7457612334129294,74.57612334129294
d1_lactate_min,0.7457612334129294,74.57612334129294
d1_diasbp_invasive_max,0.7412689585991081,74.12689585991082
d1_diasbp_invasive_min,0.7412689585991081,74.12689585991082
d1_sysbp_invasive_max,0.7409963691079782,74.09963691079781
d1_sysbp_invasive_min,0.7409963691079782,74.09963691079781
d1_mbp_invasive_min,0.7390119176125522,73.90119176125522
d1_mbp_invasive_max,0.7390119176125522,73.90119176125522
d1_pao2fio2ratio_min,0.7197234852201978,71.97234852201979
d1_pao2fio2ratio_max,0.7197234852201978,71.97234852201979
d1_arterial_ph_max,0.6555559190082104,65.55559190082104
d1_arterial_ph_min,0.6555559190082104,65.55559190082104
d1_arterial_pco2_max,0.6462660691505021,64.62660691505022
d1_arterial_pco2_min,0.6462660691505021,64.62660691505022
d1_arterial_po2_min,0.6461679369336953,64.61679369336953
d1_arterial_po2_max,0.6461679369336953,64.61679369336953
bilirubin_apache,0.6338686990939125,63.38686990939125
h1_inr_max,0.6317643082223894,63.17643082223894
h1_inr_min,0.6317643082223894,63.17643082223894
d1_inr_max,0.6317643082223894,63.17643082223894
d1_inr_min,0.6317643082223894,63.17643082223894
albumin_apache,0.5929257575261958,59.292575752619584
d1_bilirubin_max,0.5852278302966865,58.522783029668645
d1_bilirubin_min,0.5852278302966865,58.522783029668645
h1_glucose_max,0.5736809394524223,57.36809394524223
h1_glucose_min,0.5736809394524223,57.36809394524223
d1_albumin_max,0.5353221462606174,53.53221462606174
d1_albumin_min,0.5353221462606174,53.53221462606174
urineoutput_apache,0.534253595455388,53.4253595455388
